Date,Time,Title,Location,Description,Formats,Topics,Audience,Skill Level,Speakers
"July 08, 2024",8:30 - 9:15AM,PRE-CONFERENCE REGISTRATION + Refreshments,Registration Foyer,,,,,,
"July 08, 2024",9:15 - 10:15AM,PRE-CON TRAINING: Quiz Statistics: What Can They Tell You?,202 ABCD,"This session is designed for faculty, support staff, admins and student success staff who review and monitor the success and performance of quiz results. We will focus on what to review when your quiz questions aren&rsquo;t getting the results you want? Is it the question, the course content or the learner? Let&rsquo;s find out.",Pre-Conference Training,"D2L Brightspace Training, Online Instruction and Instructor/Trainer Presence, Student/Learner Success","Association & Training Organizations, Corporate Learning, Higher Education, K-12",Advanced,<p><strong>Jacqueline Nelles</strong><br />D2L</p>
"July 08, 2024",9:15 - 10:15AM,PRE-CON TRAINING: Getting Started with Brightspace,205 ABCD,"This introductory session provides a live demo of key tools used in Brightspace. We will explore Activity Feed, Content, Discussions, Assignments, Quizzes and Grades.",Pre-Conference Training,D2L Brightspace Training,"Higher Education, K-12",Novice,<p><strong>Popsann Francis</strong><br />D2L</p>
"July 08, 2024",9:15 - 10:15AM,PRE-CON TRAINING: What's New for July 20.23.7,206 CDEF,Want to stay on top of the latest and greatest in Brightspace being released this month? This session will cover all the newest release information in July 2023.,Pre-Conference Training,"Change Management, D2L Brightspace Training","Association & Training Organizations, Corporate Learning, Higher Education, K-12",Intermediate,<p><strong>Craig Romanec</strong><br />D2L</p>
"July 08, 2024",10:30 - 11:30AM,PRE-CON TRAINING: Advanced Assessment Options in Brightspace,206 CDEF,"Dig deep into some of the more nuanced ways Instructors can leverage assessment. From creating grade formulas to creating useful quiz submission views, this session covers valuable functionality available in any course.",Pre-Conference Training,"D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks","Association & Training Organizations, Corporate Learning, Higher Education, K-12",Advanced,<p><strong>Craig Romanec</strong><br />D2L</p>
"July 08, 2024",10:30 - 11:30AM,PRE-CON TRAINING: The ABCs of Content: Classic,202 ABCD,Wondering how to add content to your course? Join us as we explore how to copy existing content into courses and learn to create new materials within your course using the Brightspace Editor.,Pre-Conference Training,"D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks","Higher Education, K-12",Intermediate,<p><strong>Katarina Raznatovic</strong><br />D2L</p>
"July 08, 2024",10:30 - 11:30AM,PRE-CON TRAINING: The ABCs of Content: New Content Experience,205 ABCD,Wondering how to add content to your course? Join us as we explore how to copy existing content into courses and learn to create new materials within your course using the Brightspace Editor.,Pre-Conference Training,"D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks","Higher Education, K-12",Novice,<p><strong>Popsann Francis</strong><br />D2L</p>
"July 08, 2024",11:30AM - 12:30PM,PRE-CONFERENCE Lunch,105,"Lunch for those attending Pre-Conference Training Workshops on Monday, July 8.",Pre-Conference Training,,,,
"July 08, 2024",12:45 - 1:45PM,PRE-CON TRAINING: Bring Discussions to Life- Part I,206 CDEF,"Explore the best practices for moderating discussions in your course using statistics, groups and release conditions for both blended and online learning.",Pre-Conference Training,"Blended Learning or Hy-Flex, D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks","Association & Training Organizations, Corporate Learning, Higher Education, K-12",Advanced,<p><strong>Popsann Francis</strong><br />D2L</p>
"July 08, 2024",12:45 - 1:45PM,PRE-CON TRAINING: Discussions,205 ABCD,"Whether peer-to-peer or student-to-instructor, discussions are a great way for students to share what they are learning. In this session, we will create discussion forums and topics within a course.",Pre-Conference Training,"D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks","Higher Education, K-12",Novice,<p><strong>Katarina Raznatovic</strong><br />D2L</p>
